Job-Type,Date-Posted,Salary,Job-Title,Date-Scraped,Url,Company,Location,Description
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 16:57:18.907399 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjbi43Hlrn8AhXBIX0KHRH2AIgQutcGKAF6BAgQEAY#htivrt=jobs&htidocid=lIJL_4NWmcoAAAAAAAAAAA%3D%3D&fpstate=tldetail,InstaDeep,"Cape Town, South Africa","Founded in 2014, InstaDeep is today an EMEA leader in decision-making AI products for the Enterprise, with headquarters in London, and offices in Paris, Berlin, Tunis, Lagos, Dubai, Cape Town and the USA. InstaDeep has been named among the Top 100 global AI startups for three consecutive years by CB Insights, as well as one of the 100 most promising B2B companies in Europe, by Sifted. We have created an environment that ensures a challenge by working closely with a broad spectrum of high-quality clients, pushing you to thrive in an environment that’s rarely tedious and always looking to push you to come up with outside-the-box solutions using cutting-edge technologies. In our mission to stay ahead of the curve, we are proud to partner with firms such as BioNTech SE, Google DeepMind, NVIDIA and Intel, and world-class universities such as MIT, Oxford, UCL, and Imperial College London. We are also an NVIDIA Elite Service Delivery Partner and Google Cloud Partner.

Are you a Machine... Learning Engineer? At InstaDeep, the focus of a Research Engineer (RE) is on implementing the most innovative AI or cognitive computing technologies in order to solve identified business problems and help in the execution of technologies for commercial deployment. The RE’s goal is to develop and implement state-of-the-art algorithms while building simple and sustainable software solutions. Among the tasks they are responsible for are: working on novel research ideas, developing prototype applications, providing software design and implementing software libraries. In this role at InstaDeep, you will report to a Senior Research Engineer.

If so then keep reading….

As a Machine Learning Engineer, you’ll be a part of the Engineering department,

The Machine Learning Engineer must accomplish the following:
• Develop novel algorithms and research ideas in machine learning.
• Write software to connect the algorithms to the real world.
• Investigate and analyse why a model makes the predictions that it does.
• Collaborate with different teams and stakeholders, both internal and external to the company.
• Report and present experimental results and research findings clearly and efficiently, both internally and externally, orally and in writing in English.

Requirements:
• B.S./M.S./Ph.D. degree in Computer Science, Operational Research, Machine Learning, or related field.
• Experience in developing and debugging in C/C++ and/or Python or similar languages.
• Experience using deep learning frameworks such as PyTorch, Tensorflow, Jax, and/or Keras.
• Proficiency with Git workflow, and development with best coding practices.
• Research and software engineering experience demonstrated via an internship, contributions to open source, work experience, or coding competitions.
• By applying you confirm you can demonstrate that you have the right to work in South Africa.

Nice to haves:
• Experience in performing innovative research in applied machine learning and artificial intelligence.
• Experience in Explainable AI (XAI).
• Experience with Machine Learning tools for geospatial analysis.

Our Diversity, Equity, and Inclusion commitments

We empower individuals to celebrate their uniqueness here at InstaDeep. Our team comes from all walks of life, and we’re proud to continue encouraging and supporting applicants from underrepresented groups across the globe. Our commitment to creating an authentic environment comes from our ability to learn and grow from our diversity, and how better to experience this by other than by joining our team?

At present we operate in a hybrid way allowing work from home or work from the office as per each individual’s preferences. We are continuing to review the situation with the well-being of InstaDeepers at the forefront of our minds.

Right to work: Please note you will require the legal right to work in the location you are applying for.

Any further questions please do not hesitate to contact us at: talent@instadeep.com"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 16:57:19.508416 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjbi43Hlrn8AhXBIX0KHRH2AIgQutcGKAF6BAgQEAY#htivrt=jobs&htidocid=bosX4VmPlIoAAAAAAAAAAA%3D%3D&fpstate=tldetail,Aesafrica,"Pretoria, South Africa","Location:

Cape Town, Johannesburg, Pretoria Seniority level:

Intermediate

Experience:

3 years

Remuneration:

R92 .00 Maximum Remuneration type:

Salary Remuneration frequency:

Per Month

Benefits:

Remote Work,The Company:

A company that revolutionised the retail space for South Africans is looking for a Machine Learning Engineer. This organisation is committed to developing online retail and the country of South Africa and is looking for someone with strong ethics and a dedication to helping others to match the organisational values. They are a young, vibrant and exciting group that has earned the respect of their competitors.

The Role:

Work with a fire hose of consumer data.

Examine, assess, create, and ready for production various MLM.

Collaborate with various teams to come up with new ideas and solve specific issues.

Work with teams on design and code reviews.

Maintain a knowledgebase of the latest in ML.

Experience:

Relevant degree or qualification.

Masters... ficial.
3 years rience.
6 years rience without relevant qualification.

Python.

Linux.

Big Query.

Tensor Flow, Scikit-learn, PyTorch and Pandas.

Data Mining and Big Data.

Building backend systems at scale focusing on data processing and machine learning.

Cloud services (AWS, Google Cloud, Microsoft Azure and so on) experience beneficial.

End-to-end ML frameworks beneficial.

ML model experience beneficial"
Full-time,2023-01-08,NA,Machine Learning Developer,2023-01-08 16:57:20.083505 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjbi43Hlrn8AhXBIX0KHRH2AIgQutcGKAF6BAgQEAY#htivrt=jobs&htidocid=SyNNJ30DHCoAAAAAAAAAAA%3D%3D&fpstate=tldetail,Nedbank,"Johannesburg, South Africa","Job Classification
• REQ: 122907
• Closing Date: 9 January 2023
• Division: Nedbank Insurance (BITE)
• Employment Equity Statement: Preference will be given to individuals from underrepresented groups.

Job Family

Information Technology

Career Stream

Application Development

Leadership Pipeline

Manage Self Expert

FAIS Affected

Job Purpose

To design, prototype, and build next-generation analytic engines and services by applying strong expertise in maching learning , data mining and information retrieval

Job Responsibilities
• Develop best-in-class statistical models and algorithms
• Conducts advanced statistical analysis
• Provide actionable insights, identify trends, and measure performance
• Create value out of enterprise wide data
• Provide insights to BI and BA to further exploit and present their models
• Provide strategic direction ito data information received
• Apply advanced analytical techniques such as machine learning and artificial intelligence in order to derive... business value.
• Conduct data discovery for inclusion in models.
• Collaborate with key stakeholders to obtain business acumen and intellectual property
• Keep abreast with latest tools and techniques
• Understands business problems and designs end-to-end analytics use cases
• Collaborates with model developers to implement and deploy scalable solutions
• Develop complex models and algorithms that drive innovation throughout the organization.
• Ensure improvement of on-time performance and network planning,
• Provide thought leadership by researching best practices, conducting experiments, and collaborating with industry leaders.
• Work with large data sets, simulation/ optimization and distributed computing tools (Map/Reduce, Hadoop, Hive, Spark, Gurobi, Arena, etc.).
• Ensure understaning of pros and cons of different analytics approaches for problem type.
• Implements more advanced algorithms, e.g., complex descriptive.
• Ensure Quality controls of own work and those of junior scientists.
• Understand current state of analytics more broadly and apply techniques from across industries.
• Map problems and quantify the impact of proposed measures.
• Develop and prioritise use case roadmaps
• Support the achievement of the business strategy, objectives and values by reviewing Nedbank and Business Unit Plan and ensuring delivered systems, process, services and solutions are aligned.
• Improve personal capability and stay abreast of developments in field of expertise by identifying training courses and career progression for self through input and feedback from managers.
• Ensure personal growth and enable effectiveness in performance of roles and responsibilities by ensuring all learning activities are completed, experience practiced and certifications obtained and/or maintained within specified time frames.
• Enable skilling and required corrective action to take place by sharing knowledge and industry trends with team and stakeholders during formal and informal interaction.
• Obtain buy-in for developing new and/or enhanced processes (e.g. operational processes) that will improve the functioning of stakeholders' businesses by highlighting benefits in support of the implementation of recommendations.
• Support the achievement of the business strategy, objectives and values
• Stay abreast of developments in field of expertise
• Ensure personal growth and enable effectiveness in performance of roles and responsibilities
• Contribute to the Nedbank Culture building initiatives (e.g. staff surveys etc.).
• Participate and support corporate responsibility initiatives for the achievement of business strategy
• Seek opportunities to improve business processes, models and systems though agile thinking.

People Specification

Essential Qualifications - NQF Level
• Matric / Grade 12 / National Senior Certificate
• Advanced Diplomas/National 1st Degrees

Preferred Qualification

Masters Degree Computer Science, Econometrics , Mathematical Statistics , Actuary Science

Preferred Certifications

Essential Certifications

SAS Data Scientist certification , Microsoft Data Scientist , IBM data engineer, A WS certifications

Minimum Experience Level
• Degree in computer science, Data Science, statistics, or operations research or related technical discipline.
• 4+ years’ experience in a statistical and/or data science role
• Cursory knowledge of machine learning, statistics, optimization or related field
• Experience with R, Python, Matlab is required, programming in C, C++, Java
• Experience working with large data sets, simulation/ optimization and distributed computing tools (Map/Reduce, Hadoop, Hive, Spark, Gurobi, Arena, etc.)
• Excellent written and verbal communication skills along with strong desire to work in cross functional teams
• Attitude to thrive in a fun, agile start-up like environment.

Technical / Professional Knowledge
• Analysing situations or data that requires an in depth evaluation of multiple factors
• Data Mining
• Data Warehousing
• Financial modelling and analytics
• Research and analytics
• Strategy planning and execution

Behavioural Competencies
• Decision Making
• Innovation
• Technical/Professional Knowledge and Skills
• Customer Focus
• Applied Learning
• Continuous Improvement

Please contact the Nedbank Recruiting Team at +27 860 555 566"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 16:57:20.654900 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjbi43Hlrn8AhXBIX0KHRH2AIgQutcGKAF6BAgQEAY#htivrt=jobs&htidocid=ufSUKZB35mMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Flash Group,"Cape Town, South Africa","Responsibilities:
• Contribute to the Data Science and AI strategy, particularly the strategy for operationalizing machine learning models
• Design and build automated, scalable and reliable Machine Learning CI/CD pipelines, including automatic re-training, re-testing and re-deploying
• Manage and monitor productionized machine learning models
• Enhance data collection procedures to include information that is relevant for building analytic systems
• Assist in the integration and development of an external analytics system, which involves various data processing and data science technologies
• Enable smarter processes and implement analytics for meaningful insights
• Keep current with technical and industry developments
• Communicate findings to all stakeholders

Minimum Requirements:
• B. Sc or B. Com in Physics, Computer Science, Applied Mathematics, Statistics, Data Science, Software Engineering or similar
• 5+ years of relevant professional experience, preferably in the fintech... industry

Knowledge / Skills:
• Strong analytical and problem-solving skills
• Expert in Python and SQL
• Experience with the modern software development best practices, e.g.
• agile software development
• code reviews
• unit testing
• version control, e.g. git
• CI/CD
• Experience with microservice architectures
• Experience working in an agile team
• Experience with ML frameworks and tools (e.g. pandas, numpy, scikit-learn, TensorFlow, Pytorch, Spark MLlib)
• Experience with cloud-based services such as Azure, AWS, etc
• Experience with modern ETL, compute and orchestration frameworks, e.g. Apache Spark, Apache Flink, Apache Kafka, etc.
• Experience with container technologies, e.g. Docker, Kubernetes
• Experience in building machine learning or AI systems
• Experience deploying models to production
• Experience working with ML platforms, e.g. MLflow, Kubeflow, etc.
• Experience with cloud-based infrastructure, e.g. Azure, AWS, GCP; ideally AWS
• Experience with robotic automation of processes within the Financial Services industry

Attributes:
• Self-motivated and assertive
• Strong analytical ability
• Strong verbal and written communication/ presentation skills;
• Team player and ability to operate independently
• Good interpersonal skills
• Trustworthy
• Ability to prioritise
• Ability to work in a pressured environment
• Deadline driven

#ZB"
Full-time,NA,NA,Machine Learning Advocate Engineer - Africa Remote,2023-01-08 16:57:21.249323 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjbi43Hlrn8AhXBIX0KHRH2AIgQutcGKAF6BAgQEAY#htivrt=jobs&htidocid=bB-3lTpsOZMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Hugging Face,South Africa,"Here at Hugging Face, we’re on a journey to advance good Machine Learning and make it more accessible. Along the way, we contribute to the development of technology for the better.

We have built the fastest-growing, open-source, library of pre-trained models in the world. With over 100M+ installs and 65K+ stars on GitHub, over 10 thousand companies are using HF technology in production, including leading AI organizations such as Google, Elastic, Salesforce, Algolia, and Grammarly.

About the Role

As a Machine Learning Advocate Engineer for Africa, you will have a key role in driving the adoption of the Hub platform and Open Source technologies by creating, fostering and growing communities, extending the use cases of the Hub, developing tools to improve the developer experience, and bringing feedback to the team. You’ll collaborate extremely closely with both the Open Source, Science and Product teams.

This is not a marketing position! Developer Advocacy at Hugging Face is deeply... technical and having a generalist mindset is essential. Our team contributes to libraries such as Transformers and Datasets, as well as external libraries, and being able to technically collaborate with the rest of the team is essential.

We value that each team member works on impactful projects that are interesting to them. As such, you’ll have a key part in defining your role and day-to-day activities. Depending on your interests, you could work on developing tools to expand the Hub to new domains such as Reinforcement Learning or Computer Vision in a week and craft blog posts, videos, talks and demos the next one.

About you

You'll love working here if you enjoy both developing your Machine Learning skills and amplifying your impact by engaging with the ecosystem. If you can spend Monday coding, Tuesday designing a workshop, Wednesday writing a blog post and Thursday crafting ML memes, this job opening is for you!

We are growing a team with diverse backgrounds and skills, and hence being proficient in other human languages and having deep connections with your local ecosystem is a strong bonus. Having experience in Open Source development is a huge bonus. Existing engagement in different platforms (GitHub, LinkedIn, Twitter, TikTok, Reddit, etc) is also a bonus but not required.

If you're interested in joining us, but don't tick every box above, we still encourage you to apply! We're building a diverse team whose skills, experiences, and backgrounds complement one another. We're happy to consider where you might be able to make the biggest impact.

More about Hugging Face

We are actively working to build a culture that values diversity, equity, and inclusivity. We are intentionally building a workplace where people feel respected and supported—regardless of who you are or where you come from. We believe this is foundational to building a great company and community. Hugging Face is an equal opportunity employer and we do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

We value development. You will work with some of the smartest people in our industry. We are an organization that has a bias for impact and is always challenging ourselves to continuously grow. We provide all employees with reimbursement for relevant conferences, training, and education.

We care about your well-being. We offer flexible working hours and remote options. We offer health, dental, and vision benefits for employees and their dependents. We also offer parental leave and unlimited paid time off.

We support our employees wherever they are. While we have office spaces in NYC and Paris, we’re very distributed and all remote employees have the opportunity to visit our offices. If needed, we’ll also outfit your workstation to ensure you succeed.

We want our teammates to be shareholders. All employees have company equity as part of their compensation package. If we succeed in becoming a category-defining platform in machine learning and artificial intelligence, everyone enjoys the upside.

We support the community. We believe major scientific advancements are the result of collaboration across the field. Join a community supporting the ML/AI community"
Full-time,NA,NA,Senior Machine Learning Engineer,2023-01-08 16:57:21.829915 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjbi43Hlrn8AhXBIX0KHRH2AIgQutcGKAF6BAgQEAY#htivrt=jobs&htidocid=CY--KwHC0KgAAAAAAAAAAA%3D%3D&fpstate=tldetail,Kubevisor GmbH,South Africa,"Introduction

Kubevisor GmbH is a big data and machine learning development company that builds end-to-end projects for large German clients. You can find out more about us at https://www.kubevisor.com .

Our project teams are fully remote, with optional travel to Germany.

We are currently looking for ML engineers to join our team that are interested in being involved in full stack projects in the context of machine learning projects.

Description

A successful candidate will be a person who enjoys diving deep into data, doing analysis, discovering root causes, and designing long-term solutions. It will be a person that wants to innovate in the world of cloud big data engineering and machine learning.

Major responsibilities include:
• Understand the client's business need and guide them to a solution using Python, PyTorch, Kubeflow, Kubernetes, AWS etc.
• Lead the customer projects by being able to deliver a machine learning project on AWS from beginning to end, including... understanding the business need, aggregating data, exploring data, training models and deploying to AWS (EKS, S3 etc..) to deliver business impact to the organization.

Basic Qualifications
• Degree in computer science or a similar field
• 2+ years relevant work experience
• Able to use a major programming, preferably Python

Beneficial Experience
• Experience in processing large datasets on AWS
• Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data sets
• Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within our client's organization
• Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment
• Python to process data for modelling
• Experience working with a wide range of predictive and decision models, including tools
• ML workflow tools (e.g. Kubeflow/MLflow)
• Developing end-to-end software projects
• Experience using Linux to process large data sets
• Experience with Kubernetes
• Experience with AWS

Candidates do not have to be an exact match for the above, main criteria is Linux experience combined with software development"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 16:57:22.435427 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjbi43Hlrn8AhXBIX0KHRH2AIgQutcGKAF6BAgQEAY#htivrt=jobs&htidocid=4uUHM8pVtuwAAAAAAAAAAA%3D%3D&fpstate=tldetail,Aesafrica,"Johannesburg, South Africa","Location:
Cape Town, Johannesburg, Pretoria

Seniority level:
Intermediate

Experience:
3 years

Remuneration:
R92

00 Maximum

Remuneration type:
Salary

Remuneration frequency:
Per Month

Benefits:
Remote Work,

The Company:
A company that revolutionised the retail space for South Africans is looking for a Machine Learning Engineer.

This organisation is committed to developing online retail and the country of South Africa and is looking for someone with strong ethics and a dedication to helping others to match the organisational values.
They are a young, vibrant and exciting group that has earned the respect of their competitors.

The Role:
Work with a fire hose of consumer data.

Examine, assess, create, and ready for production various MLM.Collaborate with various teams to come up with new ideas and solve specific issues.
Work with teams on design and code reviews.
Maintain a knowledgebase of the latest in ML.

Experience:
Relevant degree or qualification.
Masters or PHD... beneficial.3 years or more role experience.6 years or more role experience without relevant qualification.
Python.
Linux.
BigQuery.
TensorFlow, Scikit-learn, PyTorch and Pandas.
Data Mining and Big Data.
Building backend systems at scale focusing on data processing and machine learning.
Cloud services (AWS, Google Cloud, Microsoft Azure and so on) experience beneficial.
End-to-end ML frameworks beneficial.
ML model experience beneficial"
Full-time,2023-01-08,NA,Artificial Intelligence And Machine Learning Senior Specialist - Randburg ...,2023-01-08 16:57:23.002595 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjbi43Hlrn8AhXBIX0KHRH2AIgQutcGKAF6BAgQEAY#htivrt=jobs&htidocid=eAUxndXKSUgAAAAAAAAAAA%3D%3D&fpstate=tldetail,E Merge It Recruitment,"Johannesburg, South Africa","Position: Artificial Intelligence And Machine Learning Senior Specialist - Randburg - Up To R960K Per Annum
""Artificial Intelligence and Machine Learning Senior Specialist - Randburg - up to Rk per annum"" jobs in Randburg Leave us your email address and we'll send you similar new jobs No, thanks

Are you based in the United States? Select your country to see jobs specific to your location.

Artificial Intelligence and Machine Learning Senior Specialist - Randburg - up to Rk per annum

Are you that exceptional individual who is passionate about the power of data to change how organizations think and operate? Our team is focused on data-driven solutions that maximize customer satisfaction and enhance company performance; we require your skills! The pivotal role of a Senior Specialist is to drive the creation of Artificial Intelligence (AI) and Machine Learning (ML) solutions and projects.

APPLY NOW!

Requirements:

Qualifications:?

Bachelor's degree in Computer Science, Mathematics... Engineering or a related discipline is required? Added advantage would be a qualification in the Data Science field

The Reference tion is PP which is a Permanent position based at their client in Randburg offering a rate of up to Rk Per Annum negotiable on experience and ability. Contact Prinuchka Pather at (Email Address Removed) at (Phone Number Removed); to discuss this and other opportunities.

Are you ready for a change of scenery? E-Merge IT recruitment is a specialist niche recruitment agency.

We offer our candidates options so that we can successfully place the right developers with the right companies in the right roles. Check out the e-Merge website (URL Removed) for more great positions.

Do you have a friend who is a developer or technology specialist? We pay cash for successful referrals!

The number of jobs in each salary range for all"
NA,NA,NA,Machine Learning Engineer (Intern) (Remote),2023-01-08 16:57:23.590213 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjbi43Hlrn8AhXBIX0KHRH2AIgQutcGKAF6BAgQEAY#htivrt=jobs&htidocid=pbz0hWeiltAAAAAAAAAAAA%3D%3D&fpstate=tldetail,Sybrin,"Johannesburg, South Africa","We are seeking a Machine Learning Engineer Intern to assist with the development and maintenance of our machine software applications. This may extend past machine learning to traditional software engineering. In this role, your duties will include reporting to your mentor, collaborating with colleagues, and ensuring we deliver the best possible solutions and services to our clients.

Skills:
• Python
• Strong software development fundamentals
• Deep Learning
• Experience with at least one of Tensorflow, Pytorch, or Jax

Requirements:

Matric/Standard 10/NQF 4

A stable internet connection if not based in Gauteng.

Willingness to learn coupled with humbleness in the advent of mistakes.
• Excellent interpersonal, logical, and problem-solving skills

Good communication and self-organization skills

Candidates not in the process of completing a STEM degree will need a strong project portfolio to be considered.

Nice to haves:
• Experience with Computer Vision
• Academic coursework in... computer science, statistics, or machine learning
• Experience with a compiled language such as Java or C++

Some benefits of interning at Sybrin:
• Competitive stipend
• Close mentorship from our experienced engineers
• The opportunity to work on projects with impact in Africa and beyond
• Exposure to multiple industries within the financial services sector
• A work itinerary carefully catered to the intern’s learning goals
• Fully remote work, with the option of coming into the Montecasino office.
• Possibility of future employment

What are some of the tasks you may get to work on?
• Liveness detection
• Facial recognition
• Document segmentation
• Optical character recognition (OCR)
• Data Preparation and collection for the above

Duration:
• 4-8 weeks starting early January 2023"
Full-time,2023-01-08,NA,Senior Data Engineer - Machine Learning,2023-01-08 16:57:24.177586 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+South+Africa&ibp=htl;jobs&sa=X&ved=2ahUKEwjbi43Hlrn8AhXBIX0KHRH2AIgQutcGKAF6BAgQEAY#htivrt=jobs&htidocid=dRkwgCMMwTQAAAAAAAAAAA%3D%3D&fpstate=tldetail,IQVIA,"Centurion, South Africa","Senior Data Engineer We are looking for an innovative, collaborative, intellectually curious and entrepreneurial Senior Data Scientist to join our Enterprise Data and Analytics team. This is an exciting opportunity to join a newly created fast-moving start-up style group within one of the world's leading human data science companies. The primary focus of the role is to develop advanced analytics on highly complex, large-scale internal company data to identify potential efficiencies and improvements.

A typical day might include

Working with the team and client to develop reporting and analytical needs

Addressing those requirements by developing and applying appropriate processes and methodologies

Communicating technical concepts and analytical outputs to a diverse set of stakeholders

Proactively identifying opportunities for innovation and areas for improvement across the company

Responsibilities:

Gathering, cleaning, and processing data Developing tools and processes to monitor... and analyse data accuracy

Collaborating with organizational leaders to identify informational needs

Analysing data sets to spot trends and patterns that can be translated into actionable insights

Presenting findings in an easy-to-understand way to inform data-driven decisions

Designing descriptive, diagnostic, predictive and prescriptive models, and machine learning algorithms to mine big data sets

Qualifications Bachelor's Degree Computer Science or related discipline, or knowledge acquired through equivalent experience required

Advanced working knowledge of SQL required, Python requirement, Alteryx is advantage

Machine learning, data modelling experience

Advanced statistic, predictive analytics

Experience supporting and working with cross-functional teams in a dynamic environment

Strong written and verbal communication skills

Why Join? Those who join us become part of a recognized global leader still willing to challenge the status quo to improve patient care. At IQVIA, you will have access to the most cutting-edge technology, the largest data sets, the best analytics tools and, in our opinion, some of the finest minds in the Healthcare industry. We thank all applicants for their interest;

however, only those selected for an interview will be contacted

IQVIA is a strong advocate of diversity and inclusion in the workplace. We believe that a work environment that embraces diversity will give us a competitive advantage in the global marketplace and enhance our success. We believe that an inclusive and respectful workplace culture fosters a sense of belonging among our employees, builds a stronger team, and allows individual employees the opportunity to maximize their personal potential.

IQVIA is a leading global provider of advanced analytics, technology solutions and clinical research services to the life sciences industry. We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. Learn more at"
