Job-Type,Date-Posted,Salary,Job-Title,Date-Scraped,Url,Company,Location,Description
Full-time,NA,NA,"Machine Learning Engineer, Hong Kong",2023-01-08 13:33:17.493935 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwiZxKf76Lj8AhXnGzQIHUItDoIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=z1vEY_yPKN0AAAAAAAAAAA%3D%3D&fpstate=tldetail,"Intact, Intact",Hong Kong,"We have a fantastic opportunity for an experienced Machine Learning Engineer to join our team in Hong Kong.

As a tech pioneer within a new AI lab, you’ll have the opportunity to:
• Use machine learning and advanced statistics to help build innovative solutions for real-life customer and business problems
• Develop and deploy to production data and machine learning pipeline at scale
• Influence the AI roadmap for the largest home, auto business insurer in Canada
• Explore new technologies and use them in your own solutions
• Validate the analytical approach and project outputs of other team members
• Grow alongside a diverse team of world-class experts in data science, software engineering, actuarial science, business and design
• Mentor and coach interns and other engineers to help us grow, as a team
• All this plus great work-life balance!

Here’s what you bring to the table:
• A bachelor’s degree in a discipline such as computer science, software engineering, AI, or a related... field. MSc is an asset
• 2+ years of experience solving business problem using machine learning
• Expertise in programming in languages such as Python and machine learning libraries such as Tensorflow, PyTorch, scikit-learn, etc.
• Expertise with the machine learning development lifecycle
• Experience developing data and machine learning pipelines
• Familiar with the underlying theory of machine learning (supervised, unsupervised and reinforcement learning)
• Unlimited curiosity and the desire to challenge the status quo
• You can take a vaguely defined issue and bring it to life using a creative approach
• Strong communication, time management and work organization skills
• The passion for developing world-class data products

Some nice-to-haves:
• Knowledge of DevOps modern tools such as Docker, Kubernetes, ELK;
• Knowledge of our tech stack: scikit-learn, xgboost, LightGBM, tensorflow, pytorch, Flask, MongoDB, Kafka

About Us

The Intact Lab – with headquarters in Montreal, Canada – is a fast-growing, digital innovation hub backed by Intact Financial Corporation (TSX: IFC, HK$110 billion in market cap), Canada’s largest home, auto and business insurance company.

Intact Financial (HK) limited (Intact Lab, HK) is our first R&D A.I. centre outside of Canada. This expansion into the Asia Pacific region is an exciting chapter of our journey to become the best insurance A.I. shop in the world.

#LI-IT #LI-Hybrid"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 13:33:18.066735 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwiZxKf76Lj8AhXnGzQIHUItDoIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=IwlQWJx77SQAAAAAAAAAAA%3D%3D&fpstate=tldetail,A.S. Watson Retail (HK) Limited,Hong Kong,"Established in Hong Kong in 1841, A.S. Watson Group is the world’s largest international health and beauty retailer. Every year, over 5 billion customers and members shopped with our 12 retail brands in stores and online.

A.S. Watson has a long heritage in giving for 180 years, and we are committed to making a difference to the world through a wide range of corporate social responsibility efforts that are designed to benefit our staff, customers, shareholders and wider community, to bring MORE to the lives of everyone we touch. You may know more by visiting Our Responsibilities page.

With over 140,000 employees worldwide, A.S. Watson Group is also a member of the world renowned multinational conglomerate CK Hutchison Holdings Limited, which has five core businesses ‐ ports and related services, retail, infrastructure, energy and telecommunications in over 50 countries.

Email us your Full resume with current and expected salary to: [email redacted, apply via Company website]

Join... us! #BePartofMORE

MORE about us:

The World of ASW
Work & Grow with Us
A.S. Watson CSR
Give a Smile

LinkedIN Instagram Facebook

Website

https://www.aswatsoncareers.com/

Come and join a Winning Team

We are Awesome!

Why Should You Join Us?

At ASW, we believe in our people, in teamwork and the importance of your personal growth. If you are looking for the opportunity to join our award-winning international family with 16,400+ stores across 29 markets in Asia and Europe, the ASW family welcomes you…

#

BePartofMORE

You can enjoy :
• Convenient office location, less than 5 min. walk from MTR
• Free round-trip lunchtime shuttle bus services to Shatin
• Comprehensive Medical and Life insurance coverage, including your spouse and children
• Well-equipped Gym inside our office building
• Onsite Clinic and Lactation Room

Role Purpose:

We are looking for a Machine Learning Engineer to work with our Data Science team to develop scalable and maintainable data-driven solutions. The primary focus of the role is to productionalize and scale machine learning models. You will be working closely with our Data Architects, Engineers and Data Scientist to build end-to-end ML applications and scale the solution to different business units.

A typical day in this Role:
• Solving complex business problems by designing and implementing algorithms and models.
• Measuring and optimizing the performance of algorithms and models.
• Enhancing data collection procedures to include information that is relevant to building advanced analytics.
• Working closely with project managers and commercial users to understand business requirements and translating them into technical requirements.
• Bringing in best practices in advanced data analytics, predictive modeling and other development processes.
• Developing automated data pipeline with a continuous integration mindset.
• Assisting in promoting data culture and best practices within the organization.

This job is a good fit for You if:
• You are a Problem Solver - You make decisions based on evidence-based opinions. When you do something new, you seek to understand as much as possible and don’t jump in but conduct your due diligence and plan for moving forward.
• You are an Expert - You have in-depth knowledge of a key area and seek possible solutions through study and research. You tend to be more reserved, and they don’t need to be in charge. You work well in teams and are also comfortable working alone.
• You are a Detailer - You like to dig into the details, and you excel at minimizing risk. You deliberate fully before making decisions and will need to see all the facts before reaching a conclusion. You follow up rigorously.

Success will depend on:
• Degree in Computer Science, Statistics, Mathematics, Machine Learning or related fields.
• At least 2 years of experience as a Machine Learning Engineer or Data Scientist.
• Self-motivated, adaptable in a fast-paced environment and with strong sense of ownership. ·
• Design, review and deploy Machine Learning solutions to a distributed machine learning platform on a predominately Microsoft Azure architecture.
• Advanced proficiency in Python, Spark or R. Familiar with ML packages (scikit-learn, PyTorch, LightGBM, etc..).
• With a good understanding of software engineering and DevOps skills (Docker, Git, CI/CD, etc..).
• Able to communicate the analytic results in a clear and effective manner.

What is holding you back?

Don’t miss out on this great chance toshape yourlife!
Apply now!

Interested parties, please send your resume with current and expected salary package to our Company’s email.

We are an equal opportunity employer and welcome applications from all qualified candidates. The information provided will be treated in strict confidence and be used only for consideration of your application for relevant/ similar posts within the A.S. Watson Group"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 13:33:18.642652 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwiZxKf76Lj8AhXnGzQIHUItDoIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=CXP2FziGVNYAAAAAAAAAAA%3D%3D&fpstate=tldetail,Lalamove (HK),Hong Kong,"Lalamove is seeking a motivated and skilled individual to join the team as a Machine Learning Engineer.
What you will be doing

⁎ Deploy, schedule, monitor, evaluate and optimize solutions for performance and scalability
⁎ Build ML development environment for data scientists to model and test prototypes
⁎ Collaborate with data scientists to build ML pipelines and move prototypes into large-scale production environment
⁎ Partner with data engineers to manage data pipeline requirements as well as infrastructure and software engineers to bring models to production

Who are you

What we seek:

⁎ Quick learner: you enjoy working with data and algorithms and have the ability to learn new frameworks and technologies quickly
⁎ Problem solver: you have strong critical thinking skills and willing to find creative solutions to difficult problems
⁎ High autonomy: self-organized, passionate with a can-do attitude and own end-to-end projects
⁎ Team player: you go the extra mile to ensure success... and alignment of all parties involved
⁎ Evangelist: you effectively teach and promote innovative tech, challenge and influence the strategy of stakeholders

What you will need:

⁎ 4+ years of hands-on experience implementing high availability production machine learning systems
⁎ Experience with distributed computing technologies (e.g. Hadoop, Spark, GPUs)
⁎ Experience with AWS (S3, Redshift, SageMaker, Lambda) or GCP (ML Engine, KubeFlow)
⁎ Experience in one or more of the following: Classical ML, Deep Learning, Image Processing, NLP, Operations Research and Recommendation Systems
⁎ Experience with machine learning frameworks and libraries (e.g. Sklearn, H2O, XGBoost, TensorFlow, Theano, Keras, Spark MLlib)
⁎ Proficiency in SQL and Python
⁎ Good command of English

Nice to have:

⁎ Familiarity with Redis and MySQL
⁎ Familiarity with Scala, Golang, PHP or Javascript
⁎ Logistics domain knowledge

Additional Information
⁎ Job Level: Mid
⁎ Experience Level: Mid Level
⁎ Job Category: Software Engineering
⁎ Related Specialization: Software Engineering
⁎ Specializations: Software Engineering
⁎ Tags: Machine Learning, AWS, Hadoop, Spark, SQL, Python, Redis, MySQL, Scala, Golang, PHP, Javascript, GCP, Deep Learning, Image Processing, NLP, Operation Systems, Recommendation Systems

Company

At Lalamove, we believe in the power of community. Millions of drivers and customers use our technology every day to connect with one another and move things that matter. Delivery is what we do best and we ensure it is always fast and simple"
Full-time,2023-01-08,NA,Machine Learning Engineer,2023-01-08 13:33:19.216288 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwiZxKf76Lj8AhXnGzQIHUItDoIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=fHCe0d6eEmcAAAAAAAAAAA%3D%3D&fpstate=tldetail,nahc.io,Hong Kong,"Overview

Our client is a global leading technology company that focused on solving sizing and fitting challenges through utilizing AI and ML technologies. They are currently looking for energetic and self-motivated individuals to join their head office in HK; working closely with world-class data scientists and engineers on data elicitation and validation.

What You Will Do
• Research and develop AI/ML solutions that have real impact on the business/products
• Applying latest machine learning research to solve 3D problems and create innovative solutions
• Implement and deploy machine/deep learning models and turn them into production
• Work with data scientists and software developers through the entire R&D pipeline.
• Maintain and improve in-house software modules and technical support

What You Will Need
• Bachelor's Degree or above in Computer Science /Statistics/ Physics or any related disciplines
• Understanding of common machine learning models/algorithms, such as SVM, logistic... regression, Bayesian regression, Neural Networks, etc
• Basic understanding of probability, statistics, optimization, data structure and algorithms
• Hands-on experience in machine/deep learning tools, such as TensorFlow, Keras, Theano, Caffe, is an advantage
• With research experience in AI/ ML/ CG in either company or research labs is a plus
• Good command of both written and spoken English, Mandarin and Cantonese"
Full-time,2023-01-08,NA,"Machine Learning Engineer, Hong Kong",2023-01-08 13:33:19.781364 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwiZxKf76Lj8AhXnGzQIHUItDoIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=B7Cmx7RCWIsAAAAAAAAAAA%3D%3D&fpstate=tldetail,Intact,Hong Kong,"Calling all AI and machine learning experts! We have a fantastic opportunity to join our team in Hong Kong.

Artificial intelligence is shaping the future of insurance. Our latest lab is located in the Hong Kong Science and Technology Park to turn this vision into a reality. As Canada's largest home, auto and business insurer, we're here to cultivate the next generation of technology and talent. Together, we're helping our customers protect what matters to them most through the power of data science, machine learning and AI.

Life in the Lab

Technology is only as good as the people behind it. Every day at work, you’ll inspire and be inspired by the brilliant minds of our greater lab team: actuaries, data scientists, machine learning experts, geomathematicians, meteorologists, software engineers and designers.

Together, you will tackle challenging problems and have the freedom to imagine, research, create, test, and bring innovative solutions to life that will have a profound impact... on our business and the needs of our customers.

As our company grows, your career will grow with it. There will always be an opportunity for you to develop your leadership skills, strengthen your expertise or take your work in a new direction. Whether it’s leading a new, exciting project or moving into a different A.I. product team in Canada or Hong Kong, your career will always be on the move.

We have a fantastic opportunity for an experienced Machine Learning Engineer to join our team in Hong Kong.

As a tech pioneer within a new AI lab, you’ll have the opportunity to:
• Use machine learning and advanced statistics to help build innovative solutions for real-life customer and business problems
• Develop and deploy to production data and machine learning pipeline at scale
• Influence the AI roadmap for the largest home, auto business insurer in Canada
• Explore new technologies and use them in your own solutions
• Validate the analytical approach and project outputs of other team members
• Grow alongside a diverse team of world-class experts in data science, software engineering, actuarial science, business and design
• Mentor and coach interns and other engineers to help us grow, as a team
• All this plus great work-life balance!

Here’s What You Bring To The Table
• A bachelor’s degree in a discipline such as computer science, software engineering, AI, or a related field. MSc is an asset
• 2+ years of experience solving business problem using machine learning
• Expertise in programming in languages such as Python and machine learning libraries such as Tensorflow, PyTorch, scikit-learn, etc.
• Expertise with the machine learning development lifecycle
• Experience developing data and machine learning pipelines
• Familiar with the underlying theory of machine learning (supervised, unsupervised and reinforcement learning)
• Unlimited curiosity and the desire to challenge the status quo
• You can take a vaguely defined issue and bring it to life using a creative approach
• Strong communication, time management and work organization skills
• The passion for developing world-class data products

Some Nice-to-haves
• Knowledge of DevOps modern tools such as Docker, Kubernetes, ELK;
• Knowledge of our tech stack: scikit-learn, xgboost, LightGBM, tensorflow, pytorch, Flask, MongoDB, Kafka

About Us

The Intact Lab – with headquarters in Montreal, Canada – is a fast-growing, digital innovation hub backed by Intact Financial Corporation (TSX: IFC, HK$110 billion in market cap), Canada’s largest home, auto and business insurance company.

Intact Financial (HK) limited (Intact Lab, HK) is our first R&D A.I. centre outside of Canada. This expansion into the Asia Pacific region is an exciting chapter of our journey to become the best insurance A.I. shop in the world.

What We Offer

Working here means you'll be empowered to be and do your best every day. Here is some of what you can expect as a permanent member of our team:
• A financial rewards program that recognizes your success
• A dynamic workplace learning ecosystem complete with learning journeys, interactive online content, and inspiring programs
• An extensive flex pension and benefits package, with access to virtual healthcare
• Flexible work arrangements
• An annual wellness account that promotes an active and healthy lifestyle
• Access to tools and resources to support physical and mental health, embracing change and connecting with colleagues
• Inclusive employee-led networks to educate, inspire, amplify voices, build relationships and provide development opportunities
• Inspiring leaders and colleagues who will lift you up and help you grow
• A Community Impact program, because what you care about is a part of what makes you different. And how you contribute to your community should be just as unique

We are an equal opportunity employer

At Intact, we value diversity and strive to create an inclusive, accessible workplace where all individuals feel valued, respected, and heard.

If we can provide a specific adjustment to make the recruitment process more accessible for you, please let us know when we reach out about a job opportunity. We’ll work with you to meet your needs.

Click here to review other important information about the hiring process, including background checks and internal candidates"
Full-time,2023-01-08,NA,Coherent (HK) - Machine Learning Engineer,2023-01-08 13:33:20.342937 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwiZxKf76Lj8AhXnGzQIHUItDoIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=-uB4A8-Bl4wAAAAAAAAAAA%3D%3D&fpstate=tldetail,Coherent (HK),Hong Kong,"Who we're looking forWe are looking for a Machine Learning Engineer who wants to be part of a growing InsurTech and use their technology skills and imagination to help make things faster, smarter and simpler. You will work with like-minded peers to develop an outstanding product portfolio and will thrive in an environment where you can achieve personal development success.What you will be doingFrequent analytical tasks on various client data, attached visualization.Background work for decision making in the process of designing AI / ML algorithms.Model performance monitoring.Build modelling pipelines for machine learning, statistical methods, and other analytics techniques.Define and implement operating standards and processes.Participate in project design meetings.Who you areWorking with data in R or Python.Familiarity with supervised / unsupervised learning methodsData visualization, a great sense on how to present data to tell stories·Time management skills with the ability to meet... deadlines.Great organizational and multi-tasking skills and abilitiesSuperb analytical and problem-solving abilities.Pay attention to details and follow-up on communications in a timely manner.Fast learner. Self-motivated"
Full-time,2023-01-08,HK$50K–HK$80K a month,Data Architect/ Data Engineer - AI/ Machine Learning Technology,2023-01-08 13:33:20.905510 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwiZxKf76Lj8AhXnGzQIHUItDoIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=cdYA5qmrSOMAAAAAAAAAAA%3D%3D&fpstate=tldetail,Page Group Hong Kong,Hong Kong,"You will develop, maintain, test and evaluate data solutions within our next generation Data and Analytics Platform. Data engineering are also involved in the design of data solutions matching capabilities to priority business challenges.

Client Details

We are on the exciting journey of simplifying and transforming our business and IT landscape. With a multi-year digitalisation programme within the organisation and we are growing our Data and Technology team. An exciting time lies in store for us and we are now inviting Data Architect / Engineer Lead with Exceptional programming skills (Scala / Python) to join our team.

Description
• Build distributed and highly parallelised data processing pipeline which process massive amount of data (both structured and unstructured data) in batch and near real-time
• Enrich and transform corporate data to enable searching, data visualization, and advanced analytics under Continuous delivery model
• Collaborate with data scientists and business... stakeholders to develop analytics models
• Automate processes where possible and are repeatable and reliable
• Work with Architect, Platform Engineers and Product Management to deliver software in a continuous delivery environment

Profile
• Exceptional programming skills, in any one of these programming language (Java, Scala, Python) with working experience (4+ years) in data pipeline development / event driven architecture
• Data Lake Framework: Experience in any one of these is a big plus (Apache Hudi / Iceberg / Delta Lake)
• Data Processing technologies; Spark, Airflow
• RPA: UIPath, Xceptor
• In addition, we expect you to have:
• Data driven thinking capabilities
• Excellent communication skills and experience of working in an international team
• Solid grounding in Financial Service
• Experience with Data processing in large scale enterprise environment is highly desired.
• Experience of implementing data security capabilities such as encryption, anonymization is a big plus.

Job Offer

We offer competitive remuneration package and comprehensive fringe benefits including medical and life insurance, and different types of allowances to the right candidate.

To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Royce Chan on +852 3602 2491.

_______________________________________________________________________________________________________________________________________

## More Job Information

Salary
• 50 000 - 80 000 / month

Industry
• IT / E-Business

Location
• Central

Experience
• 0 year

Education
• Degree"
Full-time,2023-01-08,NA,(Senior) Machine Learning Engineer,2023-01-08 13:33:21.477700 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwiZxKf76Lj8AhXnGzQIHUItDoIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=4NGMyuAZDtUAAAAAAAAAAA%3D%3D&fpstate=tldetail,M & R Forwarding (HK) Limited,Hong Kong,"Attractive remuneration & flexible working agmt.

Dynamic, growth and MNC environment
Job Description
The world of logistics is full of data challenges and opportunities. Our development team has set out to tackle these. In our team you will be closely working with our business stakeholders to further automate business processes utilizing data science and machine learning. You will be part of an innovative and highly agile team of developers and are complementing the team with your expertise to bring in new ideas with self-responsibility to have a real impact on our strategic development. You will work with the core development team in Hong Kong and also collaborate closely with our Machine Learning experts in Switzerland HQ.

Collaborate with business partners to develop new ways to achieve goals using state-of-the-art techniques and tools
Effectively communicate the analytics approach and how the goals will be achieved
Promote data-driven decision making and educate on the value... with a focus on the ""how and why"" of problem solving
Implement analytical approaches and integration, working with business leads and developers
Build reproducible, interpretable, dynamic, and scalable models that integrate seamlessly with analytical data products
Develop capabilities to find new ways to combine disparate internal and external data sources
Identify and develop long-term processes, frameworks, tools, methodologies, and standards
Collaborate and coach with a growing team and share ideas with external idea generators
We are looking for you if you have these qualities:

Background in computer science, mathematics, or a related technical discipline
Experience in software development including statistical or data science tasks
In-depth knowledge and demonstrated experience developing & optimizing machine learning models in a production environment
Experience working with Python in a production environment
Experience with streaming and non-streaming analytics
Experience with SQL, Spark, Pandas, NumPy, SciPy, statsmodels, Stan, PyMC3, Caret, scikit-learn, Keras, TensorFlow, PyTorch, and Databricks is a plus
Strong machine learning skills to solve clustering, classification, regression, anomaly detection, simulation, and optimization problems on large data sets
Experience with Big Data technologies (Azure preferred) and data visualization tools
Experience supporting deployment, monitoring, maintenance, and improvement of models desired
Excellent verbal and written English and Cantonese
Candidates with more experience will be considered as Senior Machine Learning Engineer
Please send your resume with expected salary and availability by clicking ""Apply Now"".

For further information, please visit our company homepage

(All information collected will be used for recruitment purpose only.)

The M+R Spedag Group is a Swiss based international Forwarding & Logistics Company with more than 2,000 employees in 47 offices. M+R Spedag manages Sea Freight,Air Freight, Warehouse-Logistics, Value Added Service for a prestige list of international customers. Over the past two decades, Asia has been one of the driving forces in the world economy, and has shown dramatic growth. In order to serve its clientele, M+Rhas begun to expand to Asia in the mid 80's.

With offices first in Hong Kong, Taipei and Singapore, this operation has now grown into a sizeable network with offices in most major trading centers in Asia. M+R Spedag’saim is to offer the highest standards by merging “local touch” with international logistics expertise.
Additional Company Information
Benefits & Others

Double pay, Medical insurance, Performance bonus, Five-day work week
"
Full-time,2023-01-08,NA,"Senior Development Manager, Algorithmic and Machine Learning Systems",2023-01-08 13:33:22.050130 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwiZxKf76Lj8AhXnGzQIHUItDoIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=7EVz4SulUK8AAAAAAAAAAA%3D%3D&fpstate=tldetail,CLSA,Hong Kong,"Position Description

The Algorithmic Trading team is looking for a senior developer to join our Hong Kong development center.

Our trading platform is purely developed in-house; the successful candidate will work closely with Electronic Execution desk, Equity Traders and Technologists to deliver high quality, cutting edge solutions for the Asia Pacific region.

The candidate will have to work effectively in a dynamic and diversified team environment.

Key Areas of Responsibilities
• Provide insight and deliver technical solutions to business problems
• Develop, optimize and enhance algorithmic trading strategies
• Involve in full software development lifecycle
• Resolve operational issues and implement preventative measures

Requirements
• Degree in Computer Science or Software Engineering
• Deep knowledge in algorithmic trading and design
• Strong problem-solving and analytical skills
• Open to any object oriented programming talents
• Solid development experience in C# is a plus
•... Good communication and interpersonal skills
• Great team player and open to new ideas
• Proficient in Winforms and WPF
• Experience in Machine Learning and Artificial Intelligence
• Enthusiastic, self-motivated
• Strong written and verbal communication skills

If you are seeking a dynamic environment in which to build your career in CITIC CLSA, please send your resume to recruitment@clsa.com. Kindly specify the position title in the email subject for job application.

CITIC CLSA may collect personal data from you for purposes relating to your engagement with the Company, including human resource management and other business and internal / external compliance purposes. Any personal information and /or data collected and held by the Company may be used by the Company or transferred (whether within/ outside Hong Kong) to any other parties within the Company, subsidiaries and affiliates of the Company, internal or external service providers, or any other relevant parties including governmental or regulatory authorities, for the above purposes"
Full-time,NA,HK$600K–HK$720K a year,Data Scientist (Machine Learning Product),2023-01-08 13:33:22.614002 MDT,https://www.google.com/search?q=Machine+Learning+Jobs+Hong+Kong&ibp=htl;jobs&sa=X&ved=2ahUKEwiZxKf76Lj8AhXnGzQIHUItDoIQutcGKAF6BAgIEAY#htivrt=jobs&htidocid=03iL3txES-gAAAAAAAAAAA%3D%3D&fpstate=tldetail,Michael Page,Hong Kong,"About Our Client

Our client creating an industry 4.0 building system that allows every building component to be ordered and fabricated directly from factory. It aims to provide an Amazon-like experience for building projects to find, configure and manufacture building products at competitive prices on demand.

The embedded product finder and product configurator functions are powered by cutting edge machine learning and algorithmic models developed by the Data Science team. They are now hiring a Data Scientist to be a key contributor to this technology.

Job Description

Job Responsibilities:
• Conduct research and implementation of ML model;
• Engage in the design and implementation of ML service for our digital platform;
• Collaborate with various team for developing ML service;
• MLOps pipeline management;
• Engage in the end-to-end lifecycle of ML/DS service development and maintenance.

The Successful Applicant

Job Requirements:
• Bachelor/ Master degree in Mathematics... Computer Science/ Statistics or any relevant disciplines;
• At least 3+ years' experience in Machine Learning OR data science product development, preferably in computer vision, NLP, constraint optimization or reinforcement learning;
• Proficiency in Python, Bash, Git, Linux;
• Proficiency in Pytorch/ Pytorch-lightning/ Docker;
• Experience with MLOps will be a plus; (Optional);
• Good command of English, Cantonese and Mandarin.

What's on Offer
• 13th Month Guaranteed Bonus;
• Health insurance;
• Flexible and remote working options;
• Life insurance;
• Retirement benefits or accounts;
• Professional development;
• Fitness or healthy lifestyle incentives;
• Home office improvement incentives for remote workers"
